"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",4.61155961002222,4.81660066399532,7.30253885241953,9.9606743924398,16.9769576235976
"tmax",2.95876299983158,4.18285063121271,9.43094230727156,10.2384752584732,16.7683069058257
"TPI_five",10.8920526925478,-1.52974529110642,12.1768128487836,13.1849211445279,24.8739903066633
"dem_10m_zaca",5.41741535162089,4.86589441587255,11.295623862917,12.370461186596,22.1138673582104
"flow_accumulation",15.3491043299708,1.85491049302382,9.72840313298803,15.5927432450222,24.1957589543907
"sr",12.0381381650658,2.02603506601322,13.9538000030383,17.0643008638586,29.9666146836047
"slope",10.5792377129081,3.17379553045831,16.9351959010127,19.2093766270753,27.3055884970628
"TWI",-0.936547593519828,1.22038866939074,5.03409145717405,3.07198242833256,17.0366588473647
"cwd",6.54404146627818,2.15747644000224,10.0759084562228,11.5564442583944,20.4635412284248
"vpd_aug",1.55048971993873,11.174727916337,11.0887830727179,14.6555708873817,22.7197215610474
"vpd_jan",16.7758656487023,3.07663847786792,14.9516400769281,20.1075378842004,26.8273673671413
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",5.20343009728757,5.34127700831709,5.4373977843127,10.1882616683479,16.946741223058
"tmax",0.608401860801943,2.44510607781493,9.67167781333798,8.46121607557298,16.1179993175396
"TPI_five",11.2710768166268,-5.25076678642641,14.4695071798205,12.4681085010162,29.2005913364139
"dem_10m_zaca",5.27786580727243,2.13007040064286,15.2221664547509,15.7886805162527,22.159948273926
"flow_accumulation",13.839433480568,-2.30515184685289,12.9214164312891,13.9059807807549,27.7385941811487
"sr",9.62811502014133,-2.67118087264574,9.73860641037717,10.8648485846362,25.0359709086897
"slope",7.19170165771465,-0.47592078966955,11.3643468693262,11.6913866715218,24.5157384480899
"TWI",-1.45698665813616,4.39634828453176,3.62069106295441,4.10655287495773,19.680509964543
"cwd",8.18322223451178,0.798741907640988,13.4365257525782,13.0992698487961,22.4297346514034
"vpd_aug",0.411115122129917,6.1960352555546,10.1704804283355,11.7953773181784,20.6250021660966
"vpd_jan",10.197520501103,-2.13396346530278,15.2520482284512,14.3515391092737,24.8971695290911
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",6.95411524113845,1.92342495078718,6.82166560525836,9.25636683863398,18.1496350309626
"tmax",2.32939652454396,5.44349904166089,9.72234774947948,11.3929291489845,17.7286179069674
"TPI_five",12.5082391859549,-7.18887606342863,14.1579555883222,13.3752171710694,27.7462519151152
"dem_10m_zaca",11.5159925768024,-0.72317140751296,10.228154911627,13.9985768854771,22.2865651124457
"flow_accumulation",16.0440991701589,-0.156165259904091,8.73431568638099,15.8687486630751,25.5377811316841
"sr",17.3372066164839,-1.57681902202595,12.7778134899971,17.1520939399531,30.4144881738886
"slope",9.70947829764628,-0.308894453241733,11.4938424698281,13.1262658442578,25.929451286603
"TWI",-3.31157556329442,0.691224340487499,5.12707321898248,1.92705656363263,17.7587699140623
"cwd",5.0389793501713,3.21554253635761,8.45083694697198,9.80093572560133,19.787580356841
"vpd_aug",7.30603942078166,3.22245175221067,11.1737548368759,13.366537678409,20.8024441307188
"vpd_jan",8.37567248183692,-1.97615490842516,12.3985800702984,12.7878901978315,23.1689083740446
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",2.28405057852961,6.15897259311726,2.73069107990857,7.02616255954466,15.8173780914371
"tmax",0.392135076126144,1.2270985149486,14.0837534839095,9.80998502129512,17.291813429153
"TPI_five",3.74387972889608,-1.62776105773837,10.0264807078005,7.74156864771032,22.5962723304298
"dem_10m_zaca",5.23581617326958,-0.414723459909459,15.6574481053613,13.6643157680199,23.4644468563938
"flow_accumulation",5.31909080055443,1.07650823485871,7.1156952812503,8.61494881844585,23.4004319815757
"sr",7.64612142526575,-0.771751409072181,13.7478653114693,13.2027027507325,27.1768260539623
"slope",7.1473320776418,2.88894374858508,9.88122532176508,12.019330930348,25.4199686990976
"TWI",-4.43617384930857,1.66405480493866,4.78367920892314,1.21808407573065,18.683932364774
"cwd",1.34008110770254,3.73774479971832,10.3557566234421,9.34883318900736,23.2276090296443
"vpd_aug",1.34826425709035,6.52961249429648,14.3787397097798,14.4225721968735,24.0365767280665
"vpd_jan",8.73499088306655,-2.13565083983543,19.7959947462808,17.7876270136073,28.2045444354661
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",4.54077780730227,1.52791236350108,5.0839170454195,6.76720746476323,17.2792214667143
"tmax",-0.615378491087096,4.14406385923848,9.90289347286137,8.89439320206548,17.4924032348324
"TPI_five",9.06600757161493,-3.38597007467673,10.4420816747657,10.8649987748563,27.4412840882924
"dem_10m_zaca",6.02238953856285,-2.91273213935818,14.3350491950645,11.8818477351903,23.0737460341548
"flow_accumulation",9.55191924000811,-4.55078855602641,9.58860405793013,8.95257221874723,21.7417325208746
"sr",5.18753917087005,0.242455114751961,8.94416314982266,9.30594954200683,23.8749380670233
"slope",15.765613205613,-0.731095020475426,11.8759996349344,16.896560365927,29.0699968078049
"TWI",-2.56897651619063,0.0237609945444848,4.67929172261203,1.40402778446028,18.1766106300494
"cwd",7.20487880229687,3.86051683283575,12.4228225021529,14.6739154141102,24.4417177694877
"vpd_aug",-1.17857105958371,4.91412465582398,9.94438241765188,9.19420128312304,20.6633555050576
"vpd_jan",11.0681251788118,-1.23577299891376,12.8870965259479,13.8435019950653,26.0909805423757
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",2.96800411803802,3.22951618050717,8.11456627546011,8.43130452866474,16.4909363535491
"tmax",-2.07779272893102,6.68233056457848,11.2859776511494,9.90313624502875,16.6769468145295
"TPI_five",6.10113961663837,-3.29147261214704,8.99997504088142,7.8874564384476,26.3930087077044
"dem_10m_zaca",3.13583140370826,2.92322453314777,12.4884739883408,11.8380089388981,23.1389841624865
"flow_accumulation",6.44962914520328,-0.035962752325018,8.76488603540605,8.8979940949456,22.031910908627
"sr",7.38610258964277,3.55296552306825,17.3218500944018,18.045025306325,29.7315653955514
"slope",10.5855981083736,6.35787820337258,15.6711644602672,20.4605870500385,28.5448735084678
"TWI",-3.87015174644912,1.06177581727283,4.15040637469266,0.757095620661221,18.7932634491576
"cwd",3.63487299116917,4.97398327253588,8.51120556217118,10.0731060158076,22.0307457138249
"vpd_aug",-2.22651522241647,9.27611379911471,12.9914495199765,13.4966922272713,22.2628981428186
"vpd_jan",8.2442111402094,-0.486501176873823,13.4804213787309,13.3248591918282,23.2215335099501
"","Low","Moderate","High","MeanDecreaseAccuracy","MeanDecreaseGini"
"rain",8.0532347540022,0.923931686386478,5.34453165354009,8.86819144727669,18.7188000214505
"tmax",2.10900693789025,3.93482643603619,9.91341175421967,10.1396435104173,16.980333805128
"TPI_five",10.9246783610842,-3.88758772904127,10.2644321641943,11.6095207045915,26.4890716747177
"dem_10m_zaca",6.67136775998083,3.47157901372718,14.3646321383399,16.7078967910135,22.8958946268551
"flow_accumulation",9.87095704463937,-1.13659993370764,10.099207278783,12.0020976126401,24.2775402835462
"sr",6.86208897181791,5.21558834900325,9.29578765701542,12.7650461566026,26.7358381363199
"slope",9.53479476062583,-0.536689825391477,11.3078254757574,12.8317717832832,25.202471340835
"TWI",-3.73349383852338,1.53758373080578,2.84047556238251,0.692298179145658,18.7595784700365
"cwd",6.05025707436649,3.21243526668585,9.14833971325427,11.4834756252601,23.1422556697517
"vpd_aug",1.80829233789509,7.41813501267209,12.8017081952149,14.7268521150699,22.6166810060954
"vpd_jan",12.186109483379,1.49484041643135,13.7535703037284,15.930739822376,23.5338282985975
