ORIG_FID,aspect_30m,cwd,dem_30m,insolation_30m,rain_30m,rdnbr_2007,slope_30m,tmax_30m,tmean_30m,tmin_30m,TPI_five_30m,TPI_queen_30m,TWI_30m,vpd_aug,vpd_jan,years_since_burn_30m,dnbr_2007,ndmi_2007
35337,99.4734751,952.0513458,909.2509613,899973.9453,637.460022,1122.13269,34.96904087,21.90999985,16.65999985,11.39999962,0.051676419,-0.018829771,4.664619267,33.24980259,11.96424305,93,0.519229671,-0.061186394
35338,282.1479085,954.1108661,807.2069696,1085158.335,637.6882981,889.3979666,28.17172524,22.58605713,16.13939125,9.692006716,0.219223696,0.079418836,5.042819344,37.28865576,12.24130597,93,0.616054343,-0.210714121
35338,155.9389705,837.2047292,1316.370815,1147056.475,792.6199951,543.7252129,25.2922753,21.01000023,13.59000015,6.159999847,0.261964247,0.099265769,5.272883312,38.26040866,9.730211385,86,0.616054343,-0.210714121
35338,299.3493702,916.2493272,1008.812656,947099.6686,649,995.1073055,33.9787882,22.22999954,16.31999969,10.40999985,-0.055464713,-0.018257616,5.190901085,33.91643205,11.62425855,7,0.616054343,-0.210714121
35338,NA,971.8452335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.86306286,12.32574821,NA,0.616054343,-0.210714121
35338,67.21585692,842.5214036,1047.219694,1059842.042,922.0999756,1209.268522,26.62664105,21.12999916,15.69999981,10.27000046,-0.775147883,-0.288476708,6.02561544,33.35591125,10.69768199,57,0.616054343,-0.210714121
35338,328.7303842,929.3639882,993.4384282,958739.2708,651.5800018,700.1602974,32.33025614,21.8774999,16.29374997,10.70624983,-0.184703121,-0.063949125,5.556203087,33.19986073,11.49206928,7,0.616054343,-0.210714121
35338,315.4445076,899.2231934,1019.222409,860195.0813,673.8699951,381.0737167,36.54085236,20.45999908,15.39999962,10.32999992,0.13150431,0.061497453,4.934076262,32.59559803,11.10451956,14,0.616054343,-0.210714121
35338,299.5951402,852.426806,1294.168155,953688.7368,828.4561254,1328.336811,39.38937699,20.62280635,14.41175471,8.190702037,-1.146837728,-0.402494828,5.145013709,37.73906868,9.604240468,84,0.616054343,-0.210714121
35338,289.2647468,790.2063531,1122.708327,1063132.847,859.7700195,580.3262304,30.6153254,21.47999954,13.72999954,5.96999979,1.080527217,0.400764656,4.114181572,36.43152894,11.03664165,93,0.616054343,-0.210714121
35338,26.04756047,960.1437198,972.9210851,1026909.563,666.3499756,98.83071071,30.77959554,21.71999931,16.53000069,11.32999992,0.347734829,0.133931028,4.627576632,34.88518883,11.71470788,14,0.616054343,-0.210714121
35338,294.6967297,765.1517105,1386.861473,1147918.926,893.9000244,787.3482056,25.84910655,19.72999954,14.38000011,9.029999733,0.208140052,0.079920664,5.747721642,31.62476099,9.642709613,84,0.616054343,-0.210714121
35338,343.923536,918.9660906,1075.531651,931450.2589,666.3499756,1152.657697,34.43974822,21.71999931,16.53000069,11.32999992,-0.548461917,-0.186816017,4.964633601,32.97444589,11.21608857,14,0.616054343,-0.210714121
35338,320.4116923,NA,948.7184041,1050099.49,668.3599854,446.6615295,31.15693855,21.82999992,16.54999924,11.26000023,1.002624498,0.368876002,4.096472263,35.54314423,11.89200894,14,0.616054343,-0.210714121
35338,95.05619249,872.4164917,1409.127393,897981.2875,647.4000244,899.2811157,36.07729187,19.44000053,12.84000015,6.230000019,-0.897002485,-0.326335307,6.348388386,33.93338089,8.869910622,93,0.616054343,-0.210714121
35371,94.16362076,869.2415649,1618.755176,1366242.15,696.8590149,1265.624475,32.86606522,20.40677795,13.50533323,6.603222179,0.141197369,0.074528009,4.264257288,38.10432854,9.324872398,93,0.803338307,-0.376569297
35372,83.55219223,857.508623,1570.984614,1241349.713,660.9381323,1353.741611,30.30962902,20.27506714,13.72599953,7.166933155,-0.830069982,-0.309339399,5.335820904,37.25226059,9.020356064,93,0.929329696,-0.403612935
35372,77.94428371,741.7706674,1755.114164,1429902.817,1008.604619,1371.84745,24.6172054,18.1492314,12.50076903,6.85230765,0.414346296,0.16354709,4.870219341,28.87505619,8.623449619,74,0.929329696,-0.403612935
35372,55.30668767,870.1372477,1593.021525,1222775,697.3655497,1323.624288,28.20746454,20.51222165,13.6311113,6.74444445,-0.937986056,-0.416278134,4.978002588,38.13533211,9.326939901,93,0.929329696,-0.403612935
35373,98.94590411,770.4064623,1576.977571,1482150.223,993.4339255,1376.007038,26.4054558,18.73478342,13.12739103,7.519999898,0.309728942,0.120594264,4.949597359,29.83852718,8.772352302,74,1.029679596,-0.394391105
35373,92.32150294,757.2918905,1781.309766,1547391.792,1010.190002,1085.270101,17.1449269,18.11000061,12.44999981,6.789999962,-0.10937409,-0.049117927,5.187568029,28.92708486,8.531793404,74,1.029679596,-0.394391105
35373,115.1639376,771.7480774,1637.165802,1567618.555,989.5800171,1393.886131,20.32607967,18.62000084,13.10999966,7.599999905,-0.192639668,-0.065002549,5.544107884,29.05945718,8.704398215,74,1.029679596,-0.394391105
35374,197.6534743,763.0658736,1753.743541,1655130.455,1183.300049,940.6407249,9.589417891,17.61000061,12.71000004,7.809999943,0.108235064,0.033722078,5.682255366,25.52024876,8.641030312,84,0.564494652,-0.259304122
