OBJECTID *,FID,prefire,postfire,centroid_l,Shape_Leng,Shape_Area,random_sor,Change_in,OBJECTID_1,MEAN,mortality_qualitative,
144,143,25_75,25_75,"34.744984932385, -119.66024668344",434.290396,6739.040316,0.626262,No Change,144,1401.091693,None,
145,144,25_75,25_75,"34.7121715769428, -119.66485869779",632.717431,9578.880282,0.593129,No Change,145,1447.610291,None,
146,145,25_75,1_25,"34.7027195776893, -119.578410112448",1150.000355,19650.00305,0.549064,Low Mortality,146,1484.826152,High,
147,146,25_75,1_25,"34.6984567889063, -119.655163370598",391.073609,5462.878399,0.792342,Low Mortality,147,2041.164635,Low,
148,147,75_100,25_75,"34.6990950044666, -119.675394723712",611.867193,8795.925196,0.217632,Low Mortality,148,1871.234231,Low,
149,148,25_75,25_75,"34.7028404982499, -119.666142970715",750.001036,16300.00912,0.194724,No Change,149,1734.629908,Moderate,
150,149,25_75,25_75,"34.7031240274214, -119.668429620788",1100.000852,16374.99683,0.110745,No Change,150,1718.144423,None,
151,150,1_25,1_25,"34.7083331416756, -119.68366092406",1399.999367,17900.01141,0.939712,No Change,151,1764.856044,Moderate,
152,151,75_100,25_75,"34.7130915161844, -119.674162165574",511.47061,7950.923312,0.147038,Low Mortality,152,1601.026408,Moderate,
153,152,25_75,25_75,"34.7124686264106, -119.656421610035",990.000247,17750.00218,0.361474,No Change,153,1600.646821,Low,
154,153,25_75,25_75,"34.7120468269602, -119.649734332561",500.000024,7399.996957,0.682437,No Change,154,1595.082227,Low,
155,154,75_100,25_75,"34.6992016931617, -119.678088778038",1069.999651,19900.01604,0.468503,Low Mortality,155,1886.628681,Low,
156,155,75_100,1_25,"34.7074679364652, -119.648285000872",309.999115,4400.005414,0.334406,High Mortality,156,1678.488474,High,
157,156,75_100,75_100,"34.7421286568448, -119.65333835255",509.998725,11499.9999,0.61866,No Change,157,1689.29334,None,
158,157,75_100,75_100,"34.7156479368382, -119.648066357889",516.626263,9450.115071,0.134605,No Change,158,1462.301181,None,
159,158,1_25,1_25,"34.70257042527, -119.68234389812",580.000428,6050.008532,0.727941,No Change,159,1875.044999,High,
160,159,25_75,25_75,"34.7039847632924, -119.636422049456",709.999934,16349.99998,0.948069,No Change,160,1686.21218,Low,
161,160,25_75,1_25,"34.7148719426036, -119.602422735526",910.000443,21800.00357,0.450819,Low Mortality,161,1468.366993,Low,
162,161,75_100,75_100,"34.7010726918188, -119.673162938458",463.306011,7141.57112,0.103328,No Change,162,1818.546305,None,
163,162,75_100,25_75,"34.7016013529514, -119.594171917054",659.999731,10625.0002,0.355691,Low Mortality,163,1770.254576,Moderate,
164,163,25_75,25_75,"34.7041737871744, -119.603055057911",989.999849,22100.00548,0.228112,No Change,164,1750.921726,Moderate,
165,164,25_75,25_75,"34.698708985786, -119.590207842844",509.999525,8999.997102,0.13671,No Change,165,1733.016856,None,
166,165,75_100,25_75,"34.7102027929398, -119.647670737328",949.999545,12550.00308,0.372591,Low Mortality,166,1582.909784,Moderate,
167,166,75_100,75_100,"34.7040297896202, -119.647583077526",759.999336,12050.01427,0.355036,No Change,167,1756.130211,None,
168,167,1_25,1_25,"34.6989075981198, -119.592414167798",830.00014,11950.00775,0.067446,No Change,168,1724.958023,Low,
169,168,25_75,25_75,"34.6993549607174, -119.595697591772",1210.001358,26150.01216,0.142931,No Change,169,1847.485643,Moderate,
170,169,25_75,25_75,"34.703677382899, -119.670406812094",1159.999555,27850.00563,0.073012,No Change,170,1745.607779,Moderate,
171,170,25_75,25_75,"34.7106062613924, -119.652837261347",579.999728,7025.005167,0.322062,No Change,171,1724.152174,Low,
172,171,75_100,25_75,"34.7027652486893, -119.636272766979",490.001124,7000.001488,0.374338,Low Mortality,172,1727.037928,Moderate,
173,172,75_100,75_100,"34.6977310156359, -119.591526533234",809.998839,14775.00197,0.263949,No Change,173,1761.575165,None,
174,173,75_100,25_75,"34.7063361300783, -119.602274265428",990.001548,19500.00623,0.818625,Low Mortality,174,1678.492451,Low,
175,174,75_100,25_75,"34.7059186326765, -119.669725850391",875.808466,15111.52316,0.444155,Low Mortality,175,1671.204251,None,
176,175,25_75,25_75,"34.7065808116397, -119.681366587046",999.999348,13224.99602,0.013075,No Change,176,1783.987433,None,
177,176,25_75,25_75,"34.7090398509785, -119.667910181525",779.999337,12825.00422,0.112668,No Change,177,1565.38958,None,
